claim_id,policyholder_id,policy_type,claim_type,region,channel,claim_date,report_date,report_lag_days,claim_amount,num_prior_claims,witnesses,police_report_filed,claim_status,is_fraud
CLM500017,PH100185,Health,Outpatient,Northern Ireland,Call Center,2023-12-07,2023-12-16,9,1618.67,7,3,False,Under Review,0
CLM500018,PH100213,Auto,Third Party,Northern Ireland,Mobile App,2024-01-30,2024-02-01,2,6386.67,4,2,False,Under Review,0
CLM500019,PH101007,Travel,Delay,South West,Call Center,2024-06-22,2024-07-02,10,809.46,0,2,True,Approved,0
CLM500020,PH101405,Life,Death Benefit,Yorkshire,Branch,2024-11-16,2024-12-07,21,49725.13,6,2,True,Approved,0
CLM500021,PH100432,Travel,Cancellation,North West,Online,2024-07-08,2024-07-19,11,388.85,4,2,False,Approved,0
CLM500022,PH100231,Travel,Delay,North West,Mobile App,2024-01-19,2024-02-15,27,670.5,3,0,True,Approved,0
CLM500023,PH100093,Commercial,Liability,North West,Call Center,2024-12-12,2024-12-29,17,43196.79,1,1,True,Pending,0
CLM500024,PH100532,Life,Death Benefit,London,Online,2023-01-25,2023-02-16,22,54875.66,5,3,True,Approved,0
CLM500025,PH101211,Health,Hospitalisation,North East,Branch,2023-06-23,2023-06-26,3,1497.44,4,2,True,Approved,0
CLM500026,PH100246,Health,Optical,North East,Mobile App,2024-04-25,2024-05-21,26,4052.49,4,3,True,Under Review,0
CLM500027,PH100449,Commercial,Property Damage,Wales,Branch,2023-08-09,2023-08-23,14,40902.77,7,1,True,Approved,0
CLM500028,PH100406,Life,Death Benefit,Scotland,Branch,2023-07-19,2023-08-04,16,9607.53,0,0,True,Approved,0
CLM500029,PH101044,Auto,Windscreen,Wales,Online,2024-12-15,2025-01-06,22,844.76,7,3,True,Approved,0
CLM500030,PH101439,Home,Storm,Scotland,Broker,2023-05-12,2023-05-26,14,4731.61,4,3,True,Approved,0
CLM500031,PH100157,Health,Hospitalisation,Northern Ireland,Branch,2024-09-04,2024-09-23,19,5043.82,5,0,True,Approved,0
CLM500032,PH100135,Health,Outpatient,London,Branch,2023-06-23,2023-07-07,14,5645.65,7,3,True,Pending,0
CLM500033,PH100745,Auto,Collision,Northern Ireland,Branch,2024-09-27,2024-10-26,29,1485.65,5,3,True,Approved,0
CLM500034,PH100092,Health,Dental,North East,Call Center,2024-01-23,2024-02-08,16,4590.84,4,1,False,Approved,0
CLM500035,PH100095,Commercial,Liability,North East,Call Center,2024-12-10,2024-12-23,13,25308.61,5,2,False,Pending,0
CLM500036,PH100906,Commercial,Property Damage,North East,Broker,2023-02-19,2023-03-19,28,20119.76,2,0,True,Approved,0
CLM500037,PH100364,Home,Burglary,South East,Branch,2024-10-20,2024-11-04,15,7237.07,2,1,True,Pending,0
CLM500038,PH100236,Life,Critical Illness,Scotland,Online,2024-10-06,2024-10-29,23,20439.31,3,2,True,Approved,0
CLM500039,PH100174,Auto,Theft,Northern Ireland,Broker,2024-11-13,2024-11-27,14,1720.39,5,3,True,Rejected,0
CLM500040,PH100477,Home,Fire,Midlands,Online,2024-03-04,2024-03-24,20,13886.66,5,1,False,Approved,0
CLM500041,PH100661,Travel,Cancellation,Wales,Call Center,2024-06-13,2024-06-25,12,1728.93,0,2,False,Under Review,0
CLM500042,PH100682,Auto,Theft,North West,Broker,2024-01-13,2024-01-19,6,4850.89,5,3,True,Approved,0
CLM500043,PH101416,Auto,Theft,Wales,Online,2024-04-19,2024-04-19,0,7003.29,5,3,True,Under Review,0
CLM500044,PH100112,Auto,Third Party,London,Broker,2023-11-18,2023-12-03,15,5775.75,7,3,True,Under Review,0
CLM500045,PH101218,Health,Outpatient,Midlands,Broker,2024-12-29,2025-01-02,4,337.8,4,1,True,Approved,0
CLM500046,PH100449,Health,Dental,Wales,Broker,2023-07-26,2023-08-20,25,4290.84,2,0,True,Rejected,0
CLM500047,PH100603,Health,Dental,South West,Call Center,2023-11-09,2023-12-03,24,2627.88,4,3,True,Approved,0
CLM500048,PH101476,Life,Death Benefit,Northern Ireland,Broker,2023-11-18,2023-11-18,0,16662.47,4,3,True,Approved,0
CLM500049,PH100281,Commercial,Property Damage,North East,Online,2024-05-25,2024-06-16,22,16589.75,2,0,True,Pending,0
CLM500050,PH101037,Travel,Cancellation,South West,Branch,2023-05-26,2023-05-28,2,6646.33,2,1,False,Under Review,1
CLM500051,PH100523,Auto,Theft,South East,Online,2023-07-30,2023-08-10,11,2200.62,6,3,True,Approved,0
CLM500052,PH100754,Health,Optical,London,Mobile App,2024-02-08,2024-03-03,24,1126.37,1,3,True,Under Review,0
CLM500053,PH100425,Health,Outpatient,Northern Ireland,Call Center,2024-05-29,2024-06-03,5,778.7,2,2,True,Rejected,0
CLM500054,PH100926,Health,Outpatient,Midlands,Mobile App,2024-03-05,2024-03-06,1,410.46,6,1,False,Under Review,1
CLM500055,PH100588,Commercial,Property Damage,South West,Branch,2024-12-07,2024-12-28,21,20962.6,4,1,True,Approved,0
CLM500056,PH101214,Health,Outpatient,South West,Broker,2023-06-28,2023-07-27,29,4370.14,7,3,True,Pending,0
CLM500057,PH100914,Auto,Windscreen,North East,Broker,2024-09-06,2024-09-09,3,2652.29,3,3,True,Approved,0
CLM500058,PH100648,Commercial,Liability,Northern Ireland,Branch,2024-12-15,2024-12-15,0,40951.56,3,2,False,Approved,0
CLM500059,PH101057,Travel,Cancellation,Midlands,Call Center,2023-09-07,2023-10-03,26,1493.07,4,1,True,Under Review,0
CLM500060,PH100337,Travel,Medical,London,Broker,2023-06-28,2023-07-23,25,4502.44,6,1,True,Approved,0
CLM500061,PH100516,Home,Burglary,South East,Broker,2024-01-09,2024-01-27,18,1934.06,4,2,False,Pending,0
CLM500062,PH100755,Commercial,Liability,Scotland,Broker,2023-01-12,2023-01-26,14,49931.12,6,0,True,Approved,0
CLM500063,PH101142,Home,Burglary,South East,Broker,2023-04-13,2023-05-07,24,5313.82,2,0,False,Pending,0
CLM500064,PH100110,Travel,Delay,Midlands,Mobile App,2024-10-18,2024-11-11,24,3016.89,3,2,True,Approved,0
CLM500065,PH101169,Health,Optical,South West,Broker,2023-07-11,2023-07-12,1,3625.13,7,2,False,Under Review,0
CLM500066,PH101324,Home,Fire,Northern Ireland,Broker,2024-12-21,2024-12-27,6,6361.14,7,2,True,Approved,0
CLM500067,PH100214,Travel,Cancellation,Midlands,Branch,2024-01-13,2024-01-31,18,1660.73,7,2,True,Rejected,0
CLM500068,PH101041,Health,Hospitalisation,South West,Call Center,2023-06-29,2023-07-07,8,702.91,3,1,True,Pending,0
CLM500069,PH101002,Life,Critical Illness,London,Call Center,2023-05-29,2023-06-01,3,33646.57,7,3,True,Approved,0
CLM500070,PH100623,Home,Flood,Wales,Call Center,2024-01-04,2024-01-20,16,1170.79,2,0,True,Approved,0
CLM500071,PH101223,Health,Hospitalisation,Midlands,Broker,2023-07-18,2023-07-25,7,771.22,6,3,True,Approved,0
CLM500072,PH100315,Travel,Cancellation,Yorkshire,Call Center,2024-10-10,2024-10-22,12,2174.47,7,0,False,Approved,0
CLM500073,PH100319,Health,Optical,London,Online,2023-09-05,2023-09-11,6,701.4,1,0,True,Approved,0
CLM500074,PH100863,Commercial,Property Damage,South West,Online,2024-07-26,2024-08-21,26,10409.93,2,1,True,Approved,0
CLM500075,PH100417,Auto,Third Party,Yorkshire,Call Center,2023-03-08,2023-03-13,5,2065.44,0,1,True,Approved,0
CLM500076,PH101428,Health,Outpatient,North East,Online,2023-06-23,2023-06-25,2,1290.78,4,0,True,Rejected,1
CLM500077,PH100057,Health,Dental,South East,Branch,2024-10-06,2024-10-22,16,4567.64,5,1,True,Approved,0
CLM500078,PH101223,Health,Optical,Midlands,Call Center,2024-06-19,2024-07-06,17,2378.34,7,3,False,Under Review,0
CLM500079,PH100615,Life,Critical Illness,Wales,Mobile App,2024-11-13,2024-12-03,20,37693.05,5,3,False,Approved,0
CLM500080,PH101282,Commercial,Property Damage,South East,Mobile App,2023-07-01,2023-07-07,6,19409.54,5,2,True,Approved,0
CLM500081,PH101094,Commercial,Liability,Northern Ireland,Online,2023-07-06,2023-07-25,19,25256.34,0,3,True,Approved,0
CLM500082,PH100021,Auto,Collision,South East,Online,2024-06-07,2024-06-24,17,3371.92,5,2,True,Approved,0
CLM500083,PH100237,Life,Critical Illness,Northern Ireland,Mobile App,2023-12-06,2023-12-06,0,46242.19,1,3,True,Approved,0
CLM500084,PH100605,Auto,Theft,South East,Call Center,2023-07-01,2023-07-01,0,4403.25,5,1,False,Under Review,1
CLM500085,PH101441,Travel,Delay,Scotland,Mobile App,2024-03-27,2024-03-29,2,5907.54,6,2,False,Under Review,0
CLM500086,PH100127,Home,Accidental Damage,Northern Ireland,Broker,2023-05-23,2023-06-20,28,5847.32,1,2,True,Approved,0
CLM500087,PH101047,Life,Death Benefit,North West,Mobile App,2024-02-02,2024-02-03,1,105249.1,0,1,True,Rejected,1
CLM500088,PH100409,Home,Flood,Wales,Call Center,2023-08-17,2023-08-30,13,9238.41,4,3,False,Rejected,0
CLM500089,PH101405,Travel,Delay,Yorkshire,Online,2023-04-11,2023-04-20,9,1484.51,0,1,True,Approved,0
CLM500090,PH101200,Commercial,Property Damage,South West,Call Center,2024-07-15,2024-07-31,16,14430.45,2,1,True,Approved,0
CLM500091,PH101204,Commercial,Property Damage,North West,Broker,2024-03-31,2024-04-16,16,106542.5,0,1,True,Approved,0
CLM500092,PH101478,Auto,Third Party,Yorkshire,Call Center,2024-08-03,2024-08-18,15,5697.69,0,3,True,Rejected,0
CLM500093,PH100561,Life,Critical Illness,South East,Online,2024-05-29,2024-06-13,15,28913.58,6,1,True,Approved,0
CLM500094,PH100394,Home,Burglary,Scotland,Broker,2024-08-10,2024-08-10,0,11341.18,7,2,True,Approved,0
CLM500095,PH100330,Commercial,Property Damage,South West,Broker,2023-08-25,2023-09-14,20,19705.85,6,0,True,Approved,0
CLM500096,PH101225,Auto,Windscreen,South East,Branch,2024-12-30,2025-01-03,4,3444.6,2,2,False,Approved,0
CLM500097,PH100701,Life,Critical Illness,North West,Mobile App,2023-12-05,2023-12-07,2,65054.77,3,1,True,Under Review,0
CLM500098,PH101264,Travel,Medical,Midlands,Online,2024-01-12,2024-02-03,22,2463.67,6,0,True,Approved,0
CLM500099,PH100643,Auto,Third Party,Wales,Call Center,2024-08-14,2024-08-29,15,2738.78,3,3,True,Pending,0
CLM500100,PH101038,Life,Death Benefit,Scotland,Online,2024-01-09,2024-01-25,16,95417.84,3,2,True,Approved,0
CLM500101,PH100580,Travel,Delay,Yorkshire,Mobile App,2023-11-11,2023-11-19,8,527.76,2,2,True,Approved,0
CLM500102,PH101120,Life,Death Benefit,North East,Broker,2023-04-12,2023-04-19,7,36429.45,4,1,True,Approved,0
CLM500103,PH100672,Health,Outpatient,Midlands,Branch,2024-04-18,2024-05-15,27,4580.99,2,2,True,Approved,0
CLM500104,PH100319,Commercial,Liability,London,Broker,2023-06-03,2023-06-06,3,21000.57,5,3,False,Under Review,0
CLM500105,PH100167,Auto,Collision,North West,Online,2024-03-09,2024-03-10,1,4531.28,4,0,True,Approved,0
CLM500106,PH101485,Home,Accidental Damage,Scotland,Branch,2023-09-09,2023-09-11,2,8963.93,4,0,True,Under Review,0
CLM500107,PH101075,Home,Fire,London,Broker,2023-02-25,2023-03-17,20,3476.35,2,0,True,Rejected,0
CLM500108,PH100078,Travel,Cancellation,North West,Broker,2023-06-20,2023-06-24,4,480.8,3,3,False,Under Review,0
CLM500109,PH100814,Health,Dental,Scotland,Branch,2023-02-28,2023-03-20,20,558.96,5,1,True,Approved,0
CLM500110,PH100968,Life,Death Benefit,Midlands,Branch,2023-09-18,2023-10-05,17,178948.61,6,0,True,Approved,0
CLM500111,PH100363,Travel,Medical,Yorkshire,Broker,2023-07-12,2023-07-24,12,1589.65,5,1,True,Approved,0
CLM500112,PH101445,Auto,Theft,Wales,Mobile App,2024-06-10,2024-06-22,12,1738.35,2,3,True,Pending,0
CLM500113,PH101046,Travel,Lost Luggage,Wales,Call Center,2023-12-17,2024-01-09,23,1317.1,6,0,True,Approved,0
CLM500114,PH100984,Home,Accidental Damage,Yorkshire,Call Center,2024-09-10,2024-09-25,15,15958.32,5,3,True,Approved,0
CLM500115,PH100784,Home,Storm,Northern Ireland,Mobile App,2023-06-26,2023-07-09,13,13182.75,1,2,True,Rejected,0
CLM500116,PH100982,Life,Death Benefit,South West,Mobile App,2024-09-12,2024-09-24,12,28636.3,5,2,True,Under Review,0
CLM500117,PH100673,Travel,Cancellation,London,Mobile App,2023-03-28,2023-04-21,24,1491.18,6,1,True,Approved,0
CLM500118,PH100903,Health,Optical,London,Online,2023-05-08,2023-05-08,0,5654.01,1,1,False,Rejected,1
CLM500119,PH100411,Auto,Theft,Northern Ireland,Branch,2023-01-17,2023-02-04,18,1312.74,0,1,False,Approved,0
CLM500120,PH100151,Travel,Delay,North West,Branch,2023-06-06,2023-06-23,17,1511.54,4,2,True,Rejected,0
CLM500121,PH101357,Travel,Lost Luggage,North West,Mobile App,2024-05-07,2024-05-09,2,2753.45,5,2,True,Pending,0
CLM500122,PH101372,Home,Burglary,North West,Online,2023-09-05,2023-09-28,23,5142.71,2,1,True,Approved,0
CLM500123,PH101297,Travel,Medical,North East,Broker,2023-10-23,2023-11-03,11,1970.77,7,0,True,Approved,0
CLM500124,PH100778,Travel,Delay,Northern Ireland,Branch,2023-02-06,2023-02-18,12,4816.51,4,1,True,Approved,0
CLM500125,PH100030,Auto,Fire,North East,Call Center,2023-01-01,2023-01-16,15,2962.43,0,2,True,Approved,0
CLM500126,PH100711,Auto,Collision,Northern Ireland,Broker,2024-12-20,2024-12-27,7,5039.42,4,1,True,Approved,0
CLM500127,PH100710,Auto,Collision,Scotland,Call Center,2023-06-18,2023-06-24,6,6902.35,4,2,True,Approved,0
CLM500128,PH101290,Auto,Third Party,London,Call Center,2023-10-19,2023-11-04,16,2797.88,3,0,False,Under Review,0
CLM500129,PH101060,Home,Burglary,South East,Mobile App,2024-02-11,2024-03-11,29,4364.7,5,0,True,Under Review,0
CLM500130,PH101088,Commercial,Business Interruption,Northern Ireland,Mobile App,2024-04-21,2024-04-24,3,14492.32,1,3,True,Approved,0
CLM500131,PH100739,Health,Dental,Yorkshire,Mobile App,2024-12-25,2025-01-09,15,4441.35,0,2,True,Under Review,0
CLM500132,PH100262,Life,Death Benefit,North East,Mobile App,2023-01-21,2023-02-12,22,2206.36,6,2,True,Approved,0
CLM500133,PH100092,Life,Death Benefit,North East,Broker,2023-07-10,2023-07-13,3,24945.53,4,0,True,Approved,0
CLM500134,PH101018,Home,Accidental Damage,South East,Broker,2024-06-29,2024-07-09,10,11314.88,1,2,True,Approved,0
CLM500135,PH101309,Commercial,Liability,South West,Broker,2024-05-18,2024-05-18,0,19703.54,5,2,True,Pending,0
CLM500136,PH100100,Health,Outpatient,Scotland,Mobile App,2024-04-08,2024-05-01,23,2113.07,6,1,False,Approved,0
CLM500137,PH100763,Health,Outpatient,South West,Online,2024-03-16,2024-04-09,24,1809.01,2,0,True,Approved,0
CLM500138,PH100280,Auto,Fire,London,Mobile App,2024-01-02,2024-01-30,28,4654.82,2,2,True,Under Review,0
CLM500139,PH101331,Travel,Delay,North West,Broker,2023-12-30,2024-01-23,24,1161.06,6,2,True,Pending,0
CLM500140,PH101497,Auto,Fire,Scotland,Mobile App,2024-01-06,2024-01-18,12,2180.6,6,2,True,Approved,0
CLM500141,PH101050,Commercial,Property Damage,Scotland,Mobile App,2024-11-12,2024-11-16,4,20369.77,7,2,True,Approved,0
CLM500142,PH101491,Home,Flood,South East,Online,2023-10-27,2023-10-28,1,8613.61,7,2,False,Rejected,1
CLM500143,PH101230,Health,Outpatient,London,Branch,2024-06-05,2024-06-11,6,6271.77,1,1,False,Approved,0
CLM500144,PH100021,Travel,Cancellation,South East,Branch,2024-01-15,2024-01-23,8,1125.53,3,3,False,Rejected,0
CLM500145,PH100030,Commercial,Business Interruption,North East,Branch,2023-10-17,2023-11-06,20,30871.75,7,2,True,Approved,0
CLM500146,PH100026,Life,Death Benefit,South East,Branch,2024-09-05,2024-09-14,9,91572.65,0,3,True,Approved,0
CLM500147,PH100388,Auto,Fire,  NORTH WEST ,Branch,2023-01-19,2023-01-19,0,5276.67,0,0,False,Approved,0
CLM500148,PH100515,Commercial,Business Interruption,Northern Ireland,Branch,2024-07-13,2024-07-29,16,24505.23,5,2,True,Approved,0
CLM500149,PH100738,Commercial,Liability,South West,Call Center,2024-05-19,2024-06-06,18,41014.39,6,2,True,Approved,0
CLM500150,PH101337,Commercial,Business Interruption,Scotland,Branch,2024-06-27,2024-07-10,13,38208.98,0,1,True,Approved,0
CLM500151,PH100609,Travel,Cancellation,South West,Branch,2023-05-01,2023-05-22,21,1672.32,1,0,True,Under Review,0
CLM500152,PH101164,Home,Burglary,North East,Call Center,2023-06-14,2023-07-08,24,4547.2,4,0,False,Approved,0
CLM500153,PH100396,Travel,Cancellation,Wales,Call Center,2024-04-21,2024-05-04,13,585.19,6,3,False,Approved,0
CLM500154,PH101168,Life,Critical Illness,Midlands,Mobile App,2023-01-15,2023-01-31,16,88001.85,2,3,True,Approved,0
CLM500155,PH100738,Health,Dental,South West,Call Center,2023-02-08,2023-03-08,28,3186.61,7,0,True,Approved,0
CLM500156,PH101016,Travel,Medical,North West,Broker,2023-08-11,2023-08-21,10,538.62,4,0,True,Approved,0
CLM500157,PH100213,Home,Burglary,Northern Ireland,Online,2023-01-22,2023-01-25,3,9413.24,0,2,False,Approved,0
CLM500158,PH100575,Home,Burglary,South West,Mobile App,2023-08-05,2023-08-09,4,7480.51,4,0,True,Under Review,0
CLM500159,PH101026,Health,Outpatient,North West,Mobile App,2023-12-24,2024-01-10,17,3260.38,7,2,True,Rejected,0
CLM500160,PH100353,Health,Dental,North East,Broker,2023-04-19,2023-05-10,21,991.73,2,1,False,Approved,0
CLM500161,PH100999,Home,Accidental Damage,Midlands,Online,2023-04-21,2023-05-17,26,4036.89,7,1,True,Under Review,0
CLM500162,PH100114,Auto,Fire,Scotland,Mobile App,2023-12-28,2024-01-16,19,1176.02,3,1,True,Under Review,0
CLM500163,PH101303,Life,Critical Illness,London,Branch,2023-06-26,2023-07-01,5,52589.76,6,2,True,Approved,0
CLM500164,PH101301,Commercial,Liability,South West,Broker,2024-12-28,2025-01-26,29,23917.41,1,3,False,Approved,0
CLM500165,PH100668,Auto,Third Party,Wales,Online,2023-11-29,2023-12-12,13,1015.92,6,0,False,Approved,0
CLM500166,PH100186,Home,Storm,North East,Branch,2024-03-05,2024-03-22,17,6384.27,5,1,True,Approved,0
CLM500167,PH100925,Life,Critical Illness,Midlands,Mobile App,2023-06-29,2023-07-26,27,52547.15,0,2,False,Pending,0
CLM500168,PH101450,Life,Critical Illness,Yorkshire,Call Center,2023-06-21,2023-07-09,18,47420.68,4,2,True,Approved,0
CLM500169,PH100030,Travel,Medical,North East,Branch,2024-09-23,2024-09-28,5,4156.87,5,1,True,Under Review,0
CLM500170,PH100786,Home,Storm,South East,Branch,2024-12-16,2024-12-22,6,2664.09,1,0,True,Rejected,0
CLM500171,PH100517,Home,Flood,Northern Ireland,Call Center,2024-06-28,2024-07-09,11,1855.62,7,0,True,Under Review,0
CLM500172,PH101314,Life,Death Benefit,North East,Broker,2023-04-28,2023-05-17,19,39967.63,4,1,False,Approved,0
CLM500173,PH101239,Auto,Third Party,North West,Branch,2023-09-23,2023-10-20,27,4163.29,4,0,True,Approved,0
CLM500174,PH100994,Life,Critical Illness,Midlands,Broker,2024-09-12,2024-09-14,2,55536.75,0,2,False,Under Review,0
CLM500175,PH101277,Home,Accidental Damage,North East,Mobile App,2023-12-29,2024-01-01,3,9127.78,1,0,True,Approved,0
CLM500176,PH100018,Health,Outpatient,Midlands,Call Center,2024-03-30,2024-04-09,10,219.21,7,3,True,Approved,0
CLM500177,PH101076,Auto,Collision,Northern Ireland,Broker,2024-12-11,2025-01-01,21,5667.38,4,1,True,Approved,0
CLM500178,PH100714,Travel,Lost Luggage,North East,Call Center,2023-11-23,2023-12-15,22,2420.86,4,0,True,Under Review,0
CLM500179,PH100416,Commercial,Business Interruption,South West,Broker,2023-08-30,2023-09-03,4,18686.54,4,1,True,Approved,0
CLM500180,PH101440,Auto,Fire,Scotland,Online,2023-09-06,2023-09-22,16,4139.97,0,1,True,Approved,0
CLM500181,PH100524,Home,Fire,North West,Broker,2024-12-27,2025-01-21,25,13757.16,4,3,True,Pending,0
CLM500182,PH101021,Auto,Third Party,London,Broker,2023-11-01,2023-11-30,29,3698.78,2,2,False,Approved,0
CLM500183,PH100611,Health,Hospitalisation,South West,Online,2023-03-02,2023-03-30,28,3506.56,5,1,True,Under Review,0
CLM500184,PH100673,Home,Accidental Damage,London,Branch,2023-01-26,2023-01-27,1,9604.29,5,0,False,Approved,0
CLM500185,PH101075,Commercial,Business Interruption,London,Broker,2023-02-03,2023-02-11,8,,6,2,True,Under Review,0
CLM500186,PH101094,Home,Fire,Northern Ireland,Broker,2024-06-14,2024-06-26,12,5004.47,1,2,False,Approved,0
CLM500187,PH100717,Commercial,Business Interruption,North West,Branch,2023-11-21,2023-12-15,24,14276.83,3,0,True,Approved,0
CLM500188,PH100705,Life,Death Benefit,Midlands,Branch,2023-06-29,2023-06-30,1,,3,2,True,Approved,0
CLM500189,PH100519,Auto,Windscreen,Northern Ireland,Branch,2023-11-23,2023-12-16,23,3847.35,5,3,True,Approved,0
CLM500190,PH100089,Travel,Delay,Wales,Online,2023-10-27,2023-11-15,19,788.93,3,2,True,Under Review,0
CLM500191,PH100279,Auto,Theft,North East,Call Center,2023-04-06,2023-04-19,13,6030.06,4,0,True,Approved,0
CLM500192,PH100788,Health,Dental,Northern Ireland,Broker,2024-03-26,2024-04-02,7,1134.85,1,1,False,Approved,0
CLM500193,PH100318,Travel,Medical,North West,Broker,2023-10-31,2023-11-09,9,745.08,3,3,True,Approved,0
CLM500194,PH100242,Health,Dental,Yorkshire,Call Center,2023-07-18,2023-08-03,16,1080.62,2,1,True,Rejected,0
CLM500195,PH100025,Health,Optical,South West,Online,2023-01-05,2023-01-27,22,1080.29,4,1,False,Rejected,0
CLM500196,PH101384,Commercial,Liability,Scotland,Call Center,2024-03-03,2024-03-24,21,67319.58,1,2,True,Approved,0
CLM500197,PH101223,Auto,Third Party,Midlands,Branch,2023-07-20,2023-08-18,29,4420.31,5,3,False,Approved,0
CLM500198,PH100850,Health,Hospitalisation,North East,Broker,2023-06-02,2023-06-02,0,4144.4,3,1,False,Rejected,1
CLM500199,PH100868,Home,Storm,North West,Online,2023-01-22,2023-01-22,0,8710.03,1,3,True,Approved,0
CLM500200,PH100810,Health,Dental,North West,Online,2024-12-16,2024-12-28,12,4184.05,3,3,False,Approved,0
CLM500201,PH100620,Life,Critical Illness,Northern Ireland,Branch,2024-03-19,2024-04-10,22,19174.18,2,3,True,Pending,0
CLM500202,PH100110,Life,Death Benefit,Midlands,Call Center,2024-04-17,2024-04-25,8,40047.05,3,0,True,Approved,0
CLM500203,PH100452,Auto,Third Party,Wales,Branch,2023-09-28,2023-10-19,21,2635.31,6,3,False,Approved,0
CLM500204,PH100130,Travel,Medical,Scotland,Branch,2024-08-12,2024-08-27,15,1005.81,7,3,True,Approved,0
CLM500205,PH101162,Commercial,Liability,Midlands,Online,2024-11-01,2024-11-20,19,3438.51,3,2,True,Approved,0
CLM500206,PH101043,Life,Critical Illness,South East,Mobile App,2023-08-23,2023-09-03,11,17240.21,2,3,True,Approved,0
CLM500207,PH100895,Health,Outpatient,Northern Ireland,Mobile App,2023-03-20,2023-04-09,20,5164.96,3,1,True,Under Review,0
CLM500208,PH100337,Health,Outpatient,London,Mobile App,2023-02-11,2023-02-17,6,4155.95,4,2,True,Under Review,0
CLM500209,PH101188,Travel,Medical,London,Online,2024-12-23,2025-01-09,17,1316.97,7,0,True,Approved,0
CLM500210,PH101023,Life,Death Benefit,North West,Branch,2024-09-28,2024-10-07,9,38637.89,6,0,False,Pending,0
CLM500211,PH101001,Auto,Windscreen,Yorkshire,Call Center,2024-02-22,2024-03-19,26,4503.84,3,3,True,Approved,0
CLM500212,PH100324,Home,Storm,Wales,Online,2024-04-28,2024-05-21,23,6332.6,2,2,True,Rejected,0
CLM500213,PH100230,Commercial,Business Interruption,Yorkshire,Online,2023-10-06,2023-10-07,1,31677.96,4,3,False,Under Review,0
CLM500214,PH100797,Auto,Windscreen,London,Online,2024-02-28,2024-03-05,6,2738.67,5,3,True,Approved,0
CLM500215,PH101470,Commercial,Liability,Wales,Online,2024-05-05,2024-05-26,21,2301.16,1,0,True,Approved,0
CLM500216,PH100729,Home,Burglary,South West,Call Center,2024-03-27,2024-03-28,1,22661.72,1,1,False,Approved,1
CLM500217,PH101377,Travel,Medical,  NORTH WEST ,Mobile App,2023-10-28,2023-11-06,9,300.09,6,0,True,Under Review,0
CLM500218,PH101199,Auto,Theft,North West,Mobile App,2023-08-13,2023-08-19,6,3561.73,3,0,False,Approved,0
CLM500219,PH100401,Life,Death Benefit,Northern Ireland,Broker,2023-09-17,2023-10-15,28,16287.98,4,2,True,Approved,0
CLM500220,PH100780,Travel,Medical,London,Call Center,2024-07-13,2024-08-01,19,999.38,6,2,True,Rejected,0
CLM500221,PH100304,Home,Storm,South East,Online,2024-01-24,2024-01-25,1,2441.23,6,1,True,Approved,0
CLM500222,PH101438,Health,Dental,Scotland,Call Center,2024-11-02,2024-11-11,9,2639.2,6,1,True,Rejected,0
